,qid,question,answer
0,0,我怎么注册公司邮箱,邮箱由行政部伙伴在新员工入职当天上午开通，并由HR通过微信把邮箱账号和密码发送给你。
1,1,如何开通VPN或者Web/VPN,请发送申请邮件给所在部门负责人并且抄送IT君-邓成进(dengchengjin@sunmi.com)。
2,2,我的电脑怎么连接上公司打印机,"首先确认连接的wifi是SUNMI-5G或者SUNMI 或者使用的是有线网络。
进入控制面板，单击“设备和打印机”——“添加打印机”——“添加网络、无线或蓝牙打印机”；如果没有搜索到可用的打印机，点击“我需要的打印机不在列表中”——“使用TCP/IP地址或主机名添加打印机”——3楼办公输入IP：192.168.1.94 ，6楼办公输入IP：192.168.1.99 ——“下一步”给打印机备注名字或者使用默认名称——“下一步” 不共享这台打印机——“下一步”完成安装。
如果安装过程中出现下图，请联系IT君贠旋旋（139-1606-1546）"
3,3,复印机如何使用,"一、复印
1．将需要复印的原稿正面朝上（当原稿是双面时，将正面朝上放置）放在输稿器的中部。
2．将原稿导杆调整到与放置的原稿尺寸相匹配的位置。
3．按启动键。
二、稿台玻璃复印
1．将原稿正面朝下，靠着稿台玻璃的顶部左上角排列放置。
2．关闭原稿盖。
3．按启动键。
三、停止复印
1．按控制面上的<停止>键或触摸屏上的[停止]。
2．选择[中止]。"
4,4,公司座机电话怎么拨打外线,如需拨打本地外线需要在拨号前添加拨号9，外地添加拨号0。
5,5,如何使用“八爪鱼”进行电话会议,"按键功能：
①　摘机/挂机键以及拨号键与普通座机的按键功能基本一致；
②　静音键，按下静音键后，我方音源暂消，适用于我方内部讨论时；
③　会议键用于三方及以上的电话会议中，接通第二方电话后，按会议键拨通第三方电话，接通后再按会议键，再按“3”，如需继续增加会议方则重复上述操作。

操作流程：
①　使用准备：须提前将会议电话和新会场序号（相关信息可见仪器正面）提前告知与会方；会议前，连接主机与话机，主机接上电源，并将电话线接至主机。
提示：安装完成后，建议进行测试，从而确保会议时能进行正常通话。
②　会议开启：摘机，输入“9”+会议电话，根据语音提示输入新会场序号和密码，根据语音提示按数字键开启正式通话。
③　会议结束：按挂机键结束。"
6,6,OA系统的默认账号和密码是什么,OA系统的默认账号为你的工号（例：SM0001），默认密码为1。
7,7,OA上申请的请假单可以修改或者退回么,如果流程还在审批过程中，请联系当前节点的审批人，让其退回给您。审批人信息可通过流程表上方“流程状态”进行查看。如果流程已经审批完毕，请发送情况说明邮件给互联创新部薛超（xuechao@sunmi.com）并在系统内删除对应请假单。如涉及年假申请错误导致扣除，请邮件联系人力资源部张小桐（zhangxiaotong@sunmi.com）。
8,8,怎么下载OA手机客户端,手机版服务器地址：https://oa.sunmi.com:89 (注意：需使用英文输入法)
9,9,公司WiFi/无线网络账号密码是多少,"公司无线WIFI：SUNMI,密码：sunmi388。"
10,10,公司访客WiFi/无线网络账号密码是多少,"账号：sunmi-guest或sunmi-guest5G。
密码：sunmi666。"
11,11,电脑如何申领？,电脑入职时会发放，如后续有需求，请到所在楼层前台申领。
12,12,电脑补贴如何申请？,到六楼前台找李亭登记，每月15日之前（含15日）申请，当月生效，15日之后申请，次月生效。
13,13,想了解一下公司布局图，可以找谁？,可以在OA系统—知识—文档目录—业务培训—新人工具包中获取。
14,14,如何申请办公用品,请在OA系统中提交“办公用品领用申请”，流程通过后到行政前台确认可领取的时间。（笔、本、餐巾纸等高消耗办公用品不需提交OA，但请大家注意节约使用。）
15,15,在哪里可以预定会议室？,登录OA：https://oa.sunmi.com，进入“会议”模块，根据需求选择时间，预定会议地点。为确保顺利预定所需会议室，建议提前一周申请。
16,16,我想制作名片，要如何申请呢？,登录OA：https://oa.sunmi.com，点击“流程”——“新建流程”——行政管理“名片申请”，填写提交。
17,17,如何办理停车位,"1．可提前购买临时停车票（只收取现金）:前往物业（8号楼B2层）填写“停车优惠券购买申请表”加盖公司公章后，物业会提供一张临时停车券（购买多张需提前向物业申请）,每张临时停车券也需要加盖公司公章方可使用。临时停车券1天8张封顶。
2．直接进入停车库，交付临时停车费用，1天80元封顶，现金结算。"
18,18,企业滴滴和携程商旅找谁开通？,企业滴滴请联系部门内负责的同事进行开通（若部门未设置请联系人力资源部张小桐），携程商旅请联系人力资源部张小桐（zhangxiaotong@sunmi.com）开通。
19,19,公司开票信息是什么？,"公司名称：上海商米科技有限公司
税号：913101100861724784
注册地址：上海市杨浦区淞沪路388号创智天地7号楼605室
注册电话： 021-61079307
开户行：兴业银行五角场支行
开户行账号：216450100100029418"
20,20,凭发票报销需要注意哪些事项？,"1．OA提交“费用报销申请”流程；
2．粘贴发票时将符合实际报销需求的发票与抵票分开粘贴、提交报销；其中，单据的张数不包含附件或是被抵的原始发票。
3．出租车票、汽车票或火车票，按时间的先后顺序从右往左，从下往上呈阶梯状态依次粘贴，同时第一排不要靠太左。注：粘贴在报销单据粘贴单上或者一半的A4纸上。
4．定额的汽车费在其背面标注时间、出发地、目的地、事由、金额。
5．发票不允许连号，除非对方提供的是定额票且是同一时间段产生，如：同一趟的打车费，同一天的住宿费。
6．快递底联和快递发票分开粘贴，同时有快递发票但无快递底联视同无票不予报销。"
21,33,调动流程是？薪资是否变化？,由HR先发起“异动流程”申请，经由员工本人、部门负责人、HRD确认后，启动“异动交接”流程。部门内部人员调动，由部门负责人审批；跨部门的人员调动，由调出与调入部门的部门负责人审批。被临时调动的人员仍执行原职位的工资福利标准。临时调动最长不超过一个月，否则该员工必须办理正式调动手续，工资福利由新部门负责人评估是否调整。
22,34,申请离职要如何办理手续？,正式员工离职需提前30天，试用期员工离职需提前3天，在OA系统完成离职申请。离职当天提交系统自动触发的“离职交接流程”并按流程逐步完成交接，到达最后节点时到人力资源部张小桐处领取离职证明。
